iter	Passed	Remaining
833	3125	622
834	3129	618
835	3133	614
836	3137	610
837	3140	607
838	3143	603
839	3146	599
840	3150	595
841	3154	591
842	3157	588
843	3160	584
844	3163	580
845	3167	576
846	3171	572
847	3174	569
848	3178	565
849	3182	561
850	3186	557
851	3189	554
852	3193	550
853	3196	546
854	3200	542
855	3203	538
856	3206	535
857	3210	531
858	3214	527
859	3218	523
860	3221	520
861	3225	516
862	3230	512
863	3233	508
864	3236	505
865	3239	501
866	3243	497
867	3247	493
868	3250	490
869	3254	486
870	3259	482
871	3262	478
872	3265	475
873	3269	471
874	3273	467
875	3276	463
876	3280	460
877	3283	456
878	3286	452
879	3290	448
880	3293	444
881	3297	441
882	3302	437
883	3306	433
884	3309	430
885	3313	426
886	3316	422
887	3320	418
888	3323	415
889	3327	411
890	3331	407
891	3334	403
892	3338	400
893	3342	396
894	3345	392
895	3350	388
896	3353	385
897	3357	381
898	3360	377
899	3364	373
900	3367	370
901	3371	366
902	3374	362
903	3377	358
904	3381	354
905	3384	351
906	3388	347
907	3391	343
908	3395	339
909	3398	336
910	3402	332
911	3405	328
912	3409	324
913	3413	321
914	3416	317
915	3419	313
916	3423	309
917	3427	306
918	3430	302
919	3433	298
920	3437	294
921	3442	291
922	3445	287
923	3448	283
924	3451	279
925	3455	276
926	3459	272
927	3462	268
928	3466	264
929	3470	261
930	3473	257
931	3477	253
932	3480	249
933	3483	246
934	3487	242
935	3491	238
936	3494	234
937	3498	231
938	3501	227
939	3504	223
940	3508	219
941	3511	216
942	3514	212
943	3518	208
944	3521	204
945	3524	201
946	3527	197
947	3531	193
948	3534	189
949	3538	186
950	3541	182
951	3545	178
952	3549	175
953	3553	171
954	3556	167
955	3560	163
956	3564	160
957	3567	156
958	3571	152
959	3575	148
960	3579	145
961	3582	141
962	3586	137
963	3589	134
964	3593	130
965	3596	126
966	3599	122
967	3602	119
968	3606	115
969	3609	111
970	3613	107
971	3616	104
972	3620	100
973	3624	96
974	3627	93
975	3630	89
976	3633	85
977	3637	81
978	3641	78
979	3644	74
980	3647	70
981	3651	66
982	3655	63
983	3659	59
984	3662	55
985	3667	52
986	3671	48
987	3675	44
988	3679	40
989	3683	37
990	3686	33
991	3690	29
992	3693	26
993	3697	22
994	3700	18
995	3704	14
996	3708	11
997	3712	7
998	3717	3
999	3720	0
